"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","change_10yr"
"S221","Caloplaca arnoldii",0.00583626373626372,-11.390145054945,0.00289877436539379,2.0133556464202,0.0692010052545789,5.77461319165172,-1.97245160444887,0.074220393664065,0.202848538850907,0.269277827279998,4.0536009589721,1,11,1962,2022,94.7222924066643
"S222","Caloplaca asserigena",0.00493846153846152,-9.75464615384611,0.00200749383733913,2.4600132994716,0.0316780036003404,3.99910408124615,-2.43920787148068,0.0328688437851298,0.296256424526703,0.354901722482811,6.05166543357713,1,11,1962,2022,-74.2912246866049
"S223","Caloplaca atroflava",-0.0127351648351647,25.665602197802,0.0161393312533505,-0.789076364767033,0.446741596624199,32.1509656883465,0.798284021904349,0.441599670275539,-0.032467532467533,0.053571428571428,0.622641509433955,1,11,1962,2022,-18.4426229508177
"S224","Caloplaca aurantia",-0.00525274725274726,10.9973956043956,0.00202556223610949,-2.59322925709567,0.0249939135013619,4.03509791889594,2.72543463019719,0.0197387734988504,0.322983938491446,0.379401943617159,6.72483797985697,1,11,1962,2022,-7.47157713582792
"S225","Caloplaca britannica",0.00484065934065933,-9.42713186813186,0.00335234782501521,1.44396094717211,0.176621846590149,6.67817136940493,-1.41163371627762,0.185713475202067,0.082921000518516,0.159344250475306,2.08502321695818,1,11,1962,2022,67.7845257391525
"S226","Caloplaca ceracea",-0.00395934065934065,8.0847758241758,0.00233441346553211,-1.69607514598454,0.117953776431905,4.65035670032215,1.73852810551409,0.109989973844197,0.135239274191817,0.207302668009165,2.87667090082648,1,11,1962,2022,-12.3027647928542
"S227","Caloplaca cerina",0.000856043956043971,-1.49900879120882,0.00209006984039591,0.409576722987313,0.689979079511843,4.16360273359324,-0.360026853454186,0.725644241971018,-0.0745223234369481,0.0150212035161308,0.167753092013026,1,11,1962,2022,4.66360017161737
"S228","Caloplaca cerinella",0.00254175824175813,-4.80733626373605,0.00550075511707048,0.462074422086216,0.653032746247194,10.9579874316177,-0.438706130458332,0.669366534358573,-0.0701374533098458,0.019040667799308,0.21351277154631,1,11,1962,2022,13.9208344074717
"S229","Caloplaca cerinelloides",0.00755164835164832,-14.929345054945,0.00186927731234865,4.03987589308515,0.00194889253345513,3.72376462121687,-4.00920750196781,0.00205362119127334,0.560770948808144,0.597373369740799,16.3205972315305,1,11,1962,2022,-65.7268014614421
"S230","Caloplaca chalybaea",-0.00025604395604394,0.651962637362605,0.00228932558316568,-0.111842525994001,0.912963048037902,4.56053767770172,0.14295740621776,0.88890886532117,-0.0896699627433777,0.00113586748523707,0.0125087506207188,1,11,1962,2022,-1.68341654083178
"S231","Caloplaca chlorina",0.00372307692307692,-7.26236923076922,0.00207393354235939,1.79517657968991,0.100118168423709,4.1314578103393,-1.75782243560483,0.106533059438278,0.156275908726115,0.226586249665605,3.22265895226716,1,11,1962,2022,86.5573770491716
"S232","Caloplaca chrysodeta",0.00271098901098902,-5.18859780219781,0.00175130446475651,1.54798269835161,0.149898856557509,3.48875234496137,-1.48723591965232,0.165045755151084,0.10422695822489,0.178874711706149,2.39625043439594,1,11,1962,2022,20.4548375372925
"S233","Caloplaca cinnamomea",-0.00352307692307688,7.26458461538453,0.0137272650324692,-0.256648131637564,0.802187277393875,27.3459178776155,0.265655175587691,0.79541775386506,-0.0844155844155845,0.00595238095238083,0.0658682634730526,1,11,1962,2022,-9.83606557377041
"S234","Caloplaca cirrochroa",-0.0173879120879121,35.1743362637363,0.00694261106453216,-2.50452055088352,0.029270223116818,13.83029114524,2.54328241497955,0.0273198805827467,0.305258971486866,0.363154057196294,6.27262318979789,1,11,1962,2022,-16.1461600105578
"S235","Caloplaca citrina s. lat.",-0.00216043956043961,5.45213406593416,0.00440977052936776,-0.489921084567036,0.633814300174582,8.78465029049775,0.620643268159652,0.547478091040923,-0.067613505174299,0.0213542869235592,0.240022669103343,1,11,1962,2022,-1.75136574904074
"S236","Caloplaca coralliza",-0.00768351648351642,15.4393340659339,0.00692512339922378,-1.10951329536996,0.290875681304919,13.7954541796636,1.11916098338347,0.286914699950599,0.0188880205637438,0.100647352183432,1.23101975260272,1,11,1962,2022,-20.7468612904795
"S237","Caloplaca crenularia",-0.00188021978021976,4.12293626373621,0.00178382089739834,-1.05404067356875,0.314466435872982,3.55352793533521,1.16023747069468,0.270514611116544,0.00916536417929514,0.0917349171643538,1.11100174153727,1,11,1962,2022,-4.26182182296884
"S238","Caloplaca crenulatella",0.00790329670329667,-15.5832131868131,0.00276020363977186,2.86330203663883,0.0154252522119057,5.49856813284823,-2.8340493034395,0.0162539847576792,0.374951120950429,0.427038527537894,8.19849855302007,1,11,1962,2022,-101.029682385854
"S239","Caloplaca dalmatica",0.00591648351648351,-11.5384043956044,0.00318534535075363,1.85740724002931,0.0902069344559841,6.34548776959727,-1.8183636647899,0.0963147061787989,0.169547969313292,0.238752305203851,3.4499616553133,1,11,1962,2022,83.4500111080897
"S240","Caloplaca decipiens",-0.0025406593406593,5.3289164835164,0.00251060050726334,-1.01197276639951,0.333293374138454,5.00133676538873,1.06549843241804,0.309479255397597,0.00200338505269038,0.0851697696316328,1.02408887993428,1,11,1962,2022,-7.26154599947545
"S241","Caloplaca dichroa",0.0112417582417582,-22.2265054945054,0.00371379960050983,3.02702338602625,0.0115103622488001,7.39821505953658,-3.00430648685383,0.0119872204455805,0.404846648563474,0.454442761183184,9.1628705795498,1,11,1962,2022,-64.9767214385117
"S242","Caloplaca ferruginea s. lat.",-0.0167186813186815,33.8213054945058,0.0113954445928583,-1.46713725668583,0.170338872723848,22.7007267127244,1.48987765557073,0.164360633237714,0.0876253529459174,0.163656573533758,2.15249172995562,1,11,1962,2022,-16.1339811151623
"S243","Caloplaca flavescens",0.000621978021978077,-0.383903296703406,0.00358497454147605,0.173495798863327,0.865413203563021,7.14158422472831,-0.0537560413240118,0.958093406244051,-0.0879320348967803,0.00272896801128479,0.0301007922232242,1,11,1962,2022,0.731430895072469
"S244","Caloplaca flavorubescens",0.00153956043956044,-2.9221120879121,0.00336658715288568,0.457305980699417,0.656350743966351,6.70653736144029,-0.435710998154277,0.671473253182104,-0.0705559956488278,0.0186570039885744,0.209128759983456,1,11,1962,2022,15.3729672789535
"S245","Caloplaca flavovirescens",-0.00370000000000004,7.59755384615392,0.00265691261833962,-1.39259378515515,0.191250683657617,5.29280334409387,1.43544986507611,0.178978108099137,0.0725940494194977,0.149877878634539,1.93931745045273,1,11,1962,2022,-10.7623920404543
"S246","Caloplaca granulosa",0.0134692307692307,-26.370323076923,0.0133723582594543,1.00724423530217,0.335460522078143,26.6389124073985,-0.989917406297679,0.343490008843152,0.0012102792450015,0.0844427559745847,1.01454094954946,1,11,1962,2022,235.286213383743
"S247","Caloplaca haematites",0.00269450549450548,-5.32030109890108,0.00250405886274923,1.07605517369794,0.304937231741436,4.98830523483662,-1.06655484146117,0.309022451935658,0.0129870129870128,0.0952380952380951,1.1578947368421,1,11,1962,2022,-78.6885245901397
"S248","Caloplaca herbidella s. lat.",0.00336483516483516,-6.56636703296702,0.00541297411062223,0.621624100923025,0.546856003730468,10.7831199552581,-0.608948714306487,0.554925958195154,-0.0538873205560682,0.0339366228236042,0.38641652284836,1,11,1962,2022,93.3892489515744
"S249","Caloplaca holocarpa s. lat.",0.00224615384615384,-3.87726153846153,0.0023464523810655,0.957255243822115,0.359004708873289,4.674339277677,-0.829477987825566,0.424468853103176,-0.00702081469748328,0.0768975865273069,0.916337601824933,1,11,1962,2022,4.17097175071305
"S250","Caloplaca irrubescens",-0.00592967032967028,11.9156725274724,0.00551056346794243,-1.07605517369793,0.304937231741438,10.9775265282131,1.08546059960304,0.300933222637911,0.0129870129870121,0.0952380952380943,1.15789473684209,1,11,1962,2022,-20.7075064710978
"S251","Caloplaca itiana",0.000131868131868131,-0.260373626373625,0.000122547742059505,1.07605517369794,0.304937231741436,0.24412586793654,-1.06655484146117,0.309022451935658,0.0129870129870128,0.095238095238095,1.1578947368421,1,11,1962,2022,-78.6885245901478
"S252","Caloplaca littorea",-0.00312967032967026,6.69791868131855,0.00821159552872909,-0.381128164279499,0.710366626620812,16.358219677531,0.409452789689488,0.690067355855126,-0.0766910259436397,0.0130332262183302,0.145258677607061,1,11,1962,2022,-5.52167519249748
"S253","Caloplaca lucifuga",0.00152637362637363,-2.89969010989012,0.00187634215684692,0.813483628667497,0.433196590903019,3.73783841210026,-0.775766576881212,0.454242719247553,-0.0290045853371088,0.0567457967743169,0.661755614110037,1,11,1962,2022,15.794560788402
"S254","Caloplaca luteoalba",-0.00567582417582413,11.4478571428571,0.00244102023176304,-2.32518522459142,0.0402088117767423,4.86272674400191,2.35420531432859,0.0382026926815306,0.268581964497856,0.329533467456368,5.40648632865824,1,11,1962,2022,-17.8998233699233
"S255","Caloplaca marina",-0.0123285714285714,25.031745054945,0.00238422677839189,-5.17088875114756,0.000308077121168824,4.74958919561189,5.27029686653146,0.000264197466185801,0.682018887325663,0.708517313381857,26.7380904767444,1,11,1962,2022,-14.383391727445
"S256","Caloplaca maritima",0.0103593406593406,-20.3470373626373,0.00281131858779534,3.68486898080964,0.00359516961398977,5.60039359973202,-3.63314417108307,0.00393495537260855,0.511763636232072,0.5524499998794,13.5782594057331,1,11,1962,2022,-462.928557981548
"S257","Caloplaca marmorata",0.0045120879120879,-8.80323296703295,0.00148561216538657,3.03719100934651,0.0113031703946365,2.95946994368917,-2.97459786196009,0.0126410080485036,0.406661096277663,0.456106004921191,9.22452922725526,1,11,1962,2022,89.6888413189127
"S258","Caloplaca microthallina",0.00324175824175825,-6.21327472527474,0.00256025424547937,1.26618606237338,0.231603853211636,5.10025137396958,-1.21822911650703,0.248621303366639,0.0478629114297535,0.127207668810607,1.60322714454859,1,11,1962,2022,21.6831515787047
"S259","Caloplaca obliterans",-0.00235164835164831,4.95479120879113,0.00879541944617356,-0.267371939000748,0.794129440057385,17.5212482097012,0.282787570239872,0.782590215433373,-0.0838651739391778,0.00645692388908702,0.0714877537650197,1,11,1962,2022,-6.78611784379012
