"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"TM58",2716,100,0.38,6.68,36.04,0.74,61.4,181.2,5
"TM59",2717,53,0.315,9.46,32.95,0.74,49.1,188.3,5
"TQ00",2718,102,0.464,6.51,27.54,0.74,84.4,220.8,7
"TQ01",2719,180,0.431,6.8,36.04,0.74,83.7,231.9,7
"TQ02",2720,83,0.4,7.39,38.22,0.74,77.8,233.1,7
"TQ03",2721,57,0.384,7.63,37.88,0.74,74.4,230.8,6
"TQ04",2722,85,0.365,7.95,39.64,0.74,71.1,230.2,6
"TQ05",2723,66,0.338,9.34,40.18,0.74,62.8,228.7,7
"TQ06",2724,15,0.275,12.41,42.86,0.74,46.5,216.5,6
"TQ07",2725,11,0.279,13.84,42.22,0.74,40.3,195.7,6
"TQ08",2726,18,0.277,11.67,41.2,0.74,46.6,210.1,5
"TQ09",2727,62,0.291,10.45,36.38,0.74,48.2,201.9,5
"TQ10",2728,53,0.402,8.67,25.26,0.74,60.4,191.4,9
"TQ11",2729,97,0.437,6.69,37.77,0.74,83.1,226.6,7
"TQ12",2730,79,0.407,7.24,39.4,0.74,77.9,228.3,7
"TQ13",2731,11,0.387,7.72,39.82,0.74,73.7,228.5,7
"TQ14",2732,55,0.382,7.47,40.86,0.74,75.5,232.2,6
"TQ15",2733,105,0.343,8.75,43.39,0.74,66.6,233.1,6
"TQ16",2734,34,0.281,13.06,44.17,0.74,45.5,213.9,6
"TQ17",2735,23,0.299,14.29,42.54,0.74,42.3,201.3,7
"TQ18",2736,16,0.286,14.66,44.61,0.74,41.4,203.5,7
"TQ19",2737,48,0.279,12.86,40.77,0.74,43,201.8,6
"TQ20",2738,38,0.377,8.91,28.45,0.74,53.6,178.2,8
"TQ21",2739,104,0.44,6.55,38.37,0.74,81.8,220.1,7
"TQ22",2740,82,0.417,6.88,41.02,0.74,79.8,226,7
"TQ23",2741,40,0.361,8.05,40.19,0.74,70.4,230.7,6
"TQ24",2742,41,0.398,7.75,42.01,0.74,75,228.4,7
"TQ25",2743,48,0.33,9.5,44.65,0.74,60.9,226,6
"TQ26",2744,44,0.293,13.53,42.42,0.74,44,205.3,7
"TQ27",2745,66,0.308,14.4,40.38,0.74,42.2,198.5,7
"TQ28",2746,32,0.305,14.53,43.61,0.74,42.7,201.9,7
"TQ29",2747,22,0.29,12.25,41.27,0.74,45.1,202.5,6
"TQ30",2748,57,0.438,6.87,24.54,0.74,65,178.2,8
"TQ31",2749,78,0.468,6.08,37.68,0.74,85.9,215.7,8
"TQ32",2750,77,0.41,6.8,40.95,0.74,79,224.5,6
"TQ33",2751,115,0.395,7.09,41.8,0.74,77.6,229.5,6
"TQ34",2752,27,0.418,7.15,43.6,0.74,78.2,224.2,7
"TQ35",2753,47,0.374,7.82,42.73,0.74,71.5,227.3,6
"TQ36",2754,74,0.303,12.55,41.01,0.74,46.6,206.2,7
