"SPECIES","NAME"
"S711","Lecidea lapicida"
"S712","Lecidea lichenicola"
"S713","Lecidea lithophila"
"S714","Lecidea nylanderi"
"S715","Lecidea obluridata"
"S716","Lecidea paraclitica"
"S717","Lecidea paupercula"
"S718","Lecidea phaeops"
"S719","Lecidea plana"
"S720","Lecidea promixta"
"S721","Lecidea sarcogynoides"
"S722","Lecidea silacea"
"S723","Lecidea subhumida"
"S724","Lecidea turgidula"
"S725","Lecidella anomaloides"
"S726","Lecidella asema"
"S727","Lecidella carpathica"
"S728","Lecidella elaeochroma"
"S729","Lecidella flavosorediata"
"S730","Lecidella meiococca"
"S731","Lecidella scabra"
"S732","Lecidella stigmatea"
"S733","Lecidella subviridis"
"S734","Lecidella viridans"
"S735","Lecidoma demissum"
"S736","Lemmopsis arnoldiana"
"S737","Lemmopsis oblongans"
"S738","Lempholemma botryosum"
"S739","Lempholemma chalazanellum"
"S740","Lempholemma chalazanum"
"S741","Lempholemma cladodes"
"S742","Lempholemma polyanthes"
"S743","Lempholemma radiatum"
"S744","Lepraria borealis"
"S745","Lepraria caesioalba"
"S746","Lepraria crassissima"
"S747","Lepraria diffusa"
"S748","Lepraria eburnea"
"S749","Lepraria ecorticata"
"S750","Lepraria elobata"
"S751","Lepraria finkii"
"S752","Lepraria humida"
"S753","Lepraria incana s. lat."
"S754","Lepraria jackii"
"S755","Lepraria membranacea"
"S756","Lepraria neglecta"
"S757","Lepraria nivalis"
"S758","Lepraria rigidula"
"S759","Lepraria sylvicola"
"S760","Lepraria umbricola"
"S761","Leprocaulon calcicola"
"S762","Leprocaulon microscopicum"
"S763","Leptogidium dendriscum"
"S764","Leptogium biatorinum"
"S765","Leptogium brebissonii"
"S766","Leptogium britannicum"
"S767","Leptogium burgessii"
"S768","Leptogium cochleatum"
"S769","Leptogium coralloideum"
"S770","Leptogium cyanescens"
"S771","Leptogium diffractum"
"S772","Leptogium gelatinosum"
"S773","Leptogium hibernicum"
"S774","Leptogium intermedium"
"S775","Leptogium lichenoides"
"S776","Leptogium magnussonii"
"S777","Leptogium massiliense"
"S778","Leptogium palmatum"
"S779","Leptogium plicatile"
"S780","Leptogium pulvinatum"
"S781","Leptogium saturninum"
"S782","Leptogium schraderi"
"S783","Leptogium subtile"
"S784","Leptogium subtorulosum"
"S785","Leptogium tenuissimum"
"S786","Leptogium teretiusculum"
"S787","Leptogium turgidum"
"S788","Lichenomphalia alpina"
"S789","Lichenomphalia hudsoniana"
"S790","Lichenomphalia umbellifera"
"S791","Lichenomphalia velutina"
"S792","Lichina confinis"
"S793","Lichina pygmaea"
"S794","Lichinodium sirosiphoideum"
"S795","Lithographa tesserata"
"S796","Lithothelium phaeosporum"
"S797","Llimonaea sorediata"
"S798","Lobaria amplissima"
"S799","Lobaria pulmonaria"
"S800","Lobaria scrobiculata"
"S801","Lobaria virens"
"S802","Lopadium disciforme"
"S803","Lopadium pezizoideum"
"S804","Loxospora elatina"
"S805","Massalongia carnosa"
"S806","Megalaria grossa"
"S807","Megalaria laureri"
"S808","Megalaria pulverea"
"S809","Megalospora tuberculosa"
"S810","Megaspora verrucosa"
"S811","Melanelia hepatizon"
"S812","Melanelia stygia"
"S813","Melanelixia fuliginosa"
"S814","Melanelixia glabratula"
"S815","Melanelixia subaurifera"
"S816","Melanohalea elegantula"
"S817","Melanohalea exasperata"
"S818","Melanohalea exasperatula"
"S819","Melanohalea laciniatula"
"S820","Melanohalea septentrionalis"
"S821","Melaspilea atroides"
"S822","Melaspilea granitophila"
"S823","Melaspilea interjecta"
"S824","Menegazzia subsimilis"
"S825","Menegazzia terebrata"
"S826","Micarea adnata"
"S827","Micarea alabastrites"
"S828","Micarea assimilata"
"S829","Micarea botryoides"
"S830","Micarea cinerea"
"S831","Micarea coppinsii"
"S832","Micarea deminuta"
"S833","Micarea denigrata"
"S834","Micarea doliiformis"
"S835","Micarea erratica"
"S836","Micarea farinosa"
"S837","Micarea hedlundii"
"S838","Micarea herbarum"
"S839","Micarea incrassata"
"S840","Micarea lapillicola"
"S841","Micarea leprosula"
"S842","Micarea lignaria"
"S843","Micarea lithinella"
"S844","Micarea lynceola"
"S845","Micarea marginata"
"S846","Micarea melaena"
"S847","Micarea misella"
"S848","Micarea myriocarpa"
"S849","Micarea nigella"
"S850","Micarea nitschkeana"
"S851","Micarea paratropa"
"S852","Micarea peliocarpa"
"S853","Micarea prasina s. lat."
"S854","Micarea pycnidiophora"
"S855","Micarea stipitata"
"S856","Micarea subconfusa"
"S857","Micarea submilliaria"
"S858","Micarea subnigrata"
"S859","Micarea synotheoides"
"S860","Micarea ternaria"
"S861","Micarea turfosa"
"S862","Micarea viridiatra"
"S863","Miriquidica atrofulva"
"S864","Miriquidica complanata"
"S865","Miriquidica griseoatra"
"S866","Miriquidica leucophaea"
"S867","Miriquidica lulensis"
"S868","Miriquidica nigroleprosa"
